CREATED_ON,DELETED_ON,ROLE,GRANTED_TO,GRANTEE_NAME,GRANTED_BY
2023-08-24 10:16:16.401000-07:00,,ACCOUNTADMIN,USER,FROMTHEBLOCK1,
2023-08-14 08:23:25.134000-07:00,,ACCOUNTADMIN,USER,WARLYBARD1,
2023-08-24 10:14:57.733000-07:00,,ACCOUNTADMIN,USER,HEIDI007,
2023-08-31 07:21:35.282000-07:00,,ACCOUNTADMIN,USER,BLAYDEN,
2023-08-14 08:23:25.136000-07:00,2023-08-23 13:30:48.244000-07:00,ACCOUNTADMIN,USER,SNOWFLAKE,ACCOUNTADMIN
2023-08-31 07:25:34.904000-07:00,,ORGADMIN,USER,FROMTHEBLOCK1,
2023-08-31 07:22:07.009000-07:00,,ORGADMIN,USER,BLAYDEN,
2023-08-14 08:23:28.525000-07:00,,ORGADMIN,USER,WARLYBARD1,
2023-08-31 07:21:43.881000-07:00,,SYSADMIN,USER,BLAYDEN,ACCOUNTADMIN
2023-08-31 07:22:13.379000-07:00,,MASKING_ADMIN,USER,BLAYDEN,USERADMIN
2023-08-31 07:21:58.409000-07:00,,SECURITYADMIN,USER,BLAYDEN,ACCOUNTADMIN
2023-08-31 08:12:27.856000-07:00,,BEAN,USER,FROMTHEBLOCK1,SECURITYADMIN
